player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,download_date,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards
Gonçalo Ramos,934510,Paris Saint-Germain,1644,france,2526,1038,24,10,6.64,5,1,6,6.85,1.29,3,1,100.0,74,2,66.67,142,83,225,83.33,16,44.44,20,0,0,0,25,2,11,10,3,4,24,0,0,11,20260326,10,69,0,0,18,0,10.64,0,9,7,2,4,1,,41,45.56,2,0,1,45,3,13,2,4,0.0,0,0,1,0,100.0,0,1,0,0,100,12,0,0,1,0,0,0,0,0,0,207.6,0,0,40,7,16,21,14,48.28,0,11,10,90.91,13,8,29,1,57,45.24,3,178,92,270,159.3,47,1,450,16,2,0
Jessy Deminguet,902657,Metz,1651,france,2526,1525,25,19,6.64,1,0,1,0.38,0.55,30,0,0.0,101,45,67.16,236,355,591,88.74,11,40.74,16,0,0,0,58,0,0,3,0,14,24,0,0,25,20260326,14,85,0,1,21,0,9.09,0,35,27,8,0,1,,62,47.33,0,0,0,75,16,3,1,0,2.0,0,0,0,0,0.0,0,0,0,1,140,3,0,0,0,0,0,0,0,0,0,1525.0,0,0,5,6,4,4,8,47.06,0,32,17,53.13,3,47,17,15,73,46.2,67,288,378,666,159.3,11,0,897,23,4,0
Morgan Bokele Mputu,1394735,Metz,1651,france,2526,228,10,1,6.64,0,0,0,0.34,0.23,2,3,50.0,22,3,60.0,45,34,79,79.0,0,0.0,2,0,0,0,10,0,0,2,0,2,8,0,0,5,20260326,3,17,0,0,2,0,0.0,0,7,7,0,0,0,,16,51.61,0,0,0,21,1,2,0,0,1.0,0,0,0,0,0.0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2,1,0,1,3,37.5,0,5,4,80.0,2,7,8,6,16,48.48,5,61,39,100,53.1,3,0,152,8,0,0
Dehmaine Tabibou,1405912,Nantes,1647,france,2526,1087,22,12,6.64,1,0,1,1.17,1.22,13,16,22.22,68,17,35.42,135,122,257,74.93,9,52.94,8,0,0,0,56,3,0,5,0,17,22,0,0,15,20260326,11,66,3,0,19,0,4.55,0,17,16,1,1,0,,62,51.67,0,0,2,86,14,16,1,0,0.0,0,0,0,0,0.0,0,0,0,0,201,4,0,0,0,0,0,0,0,0,0,1087.0,0,3,8,14,11,6,18,54.55,0,27,16,59.26,16,29,33,72,71,51.82,48,200,143,343,146.0,22,0,653,17,4,0
Louis Leroux,1405998,Nantes,1647,france,2526,1236,18,14,6.63,1,1,2,1.4,0.72,16,8,32.0,65,17,36.17,155,150,305,75.68,8,44.44,10,0,0,0,46,0,1,6,1,30,18,0,0,9,20260326,12,56,0,1,11,0,10.0,0,19,16,3,1,0,,48,51.06,1,0,0,98,4,12,0,1,2.0,0,0,0,0,0.0,0,0,0,0,167,3,0,0,0,0,0,0,0,0,0,1236.0,0,0,8,2,1,3,8,36.36,0,29,17,58.62,12,42,22,25,56,50.0,47,218,185,403,119.4,10,0,663,12,1,0
Nidal Čelik,1399503,RC Lens,1648,france,2526,473,6,6,6.63,0,0,0,0.03,0.07,6,0,0.0,35,12,52.17,92,138,230,92.0,5,71.43,2,0,0,0,19,0,0,0,1,11,6,0,0,1,20260326,2,16,1,1,8,0,0.0,0,7,5,2,0,0,,19,57.58,0,0,0,20,8,0,0,0,4.0,0,0,0,0,0.0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,1,1,25.0,0,17,9,52.94,0,12,4,0,24,60.0,23,104,146,250,39.8,1,0,322,1,1,0
Timothee Pembele,1824137,Le Havre,1662,france,2526,251,7,2,6.63,0,0,0,0.39,0.07,0,2,40.0,12,3,42.86,39,54,93,85.32,2,66.67,1,0,0,0,8,0,1,0,0,9,7,0,0,1,20260326,3,8,0,0,2,0,0.0,0,4,4,0,0,0,,12,63.16,0,0,0,16,2,1,0,0,1.0,0,0,0,0,0.0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0.0,0,0,3,1,2,2,3,75.0,0,6,4,66.67,1,3,4,5,14,63.64,7,50,59,109,46.4,4,0,171,3,1,0
Mahamadou Nagida,1545409,Stade Rennais,1658,france,2526,562,12,5,6.63,0,0,0,0.5,0.33,11,4,50.0,67,22,56.41,148,150,298,83.47,8,66.67,4,0,0,0,32,0,1,3,2,22,11,0,0,6,20260326,10,32,1,1,10,0,0.0,0,9,8,1,0,0,,28,50.0,0,0,0,59,13,3,0,0,2.0,0,0,0,1,0.0,0,0,0,0,86,1,0,0,0,0,0,0,0,0,0,0.0,0,0,2,9,5,3,9,81.82,0,15,9,60.0,3,24,11,8,36,52.94,39,186,171,357,72.9,11,0,526,5,2,0
Assane Dioussé,782240,Auxerre,1646,france,2526,234,14,1,6.63,0,0,0,0.12,0.3,9,2,33.33,41,11,73.33,74,55,129,91.49,2,28.57,5,0,0,0,20,0,0,2,0,4,11,0,0,2,20260326,1,15,0,0,7,0,0.0,0,10,8,2,0,0,,9,47.37,0,0,0,12,5,3,0,0,2.0,0,0,0,0,0.0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,3,1,1,1,50.0,0,5,2,40.0,3,10,2,6,11,42.31,15,83,58,141,72.9,4,0,184,3,3,0
Tuomas Ollila,930813,Paris FC,6070,france,2526,312,9,3,6.63,0,0,0,0.07,0.78,2,3,33.33,15,4,30.77,34,56,90,72.58,7,58.33,5,0,0,0,11,0,0,1,1,10,8,0,0,3,20260326,0,12,1,1,3,0,0.0,0,4,4,0,0,0,,11,61.11,0,0,2,34,1,1,0,1,0.0,0,0,0,0,0.0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,2,0,2,50.0,0,2,1,50.0,1,7,4,9,18,60.0,13,52,72,124,53.0,3,0,202,7,0,0
Lucas Tousart,787889,Stade Brestois,1715,france,2526,543,19,5,6.62,0,0,0,0.37,0.35,4,2,66.67,25,8,47.06,54,72,126,79.75,14,48.28,15,0,0,0,23,2,0,1,0,14,19,0,0,6,20260326,5,43,0,0,17,0,0.0,0,11,8,3,0,0,,27,49.09,0,0,0,32,7,4,0,0,0.0,0,0,0,0,0.0,0,0,0,1,54,3,0,0,0,0,0,0,0,0,0,0.0,0,0,3,3,3,2,2,66.67,0,21,11,52.38,4,6,3,3,41,48.81,17,77,81,158,125.8,6,0,269,4,0,0
Soriba Diaoune,1936816,Lille,1643,france,2526,202,10,1,6.62,1,1,2,1.25,0.39,3,2,40.0,18,1,100.0,34,16,50,79.37,1,20.0,4,0,0,0,7,0,1,2,0,2,10,0,0,6,20260326,1,22,0,0,5,0,10.0,0,6,4,2,1,0,,11,37.93,0,0,1,13,1,5,0,0,1.0,0,0,0,0,0.0,0,0,0,0,36,2,0,0,1,0,0,0,0,0,0,202.0,0,0,9,1,4,4,5,45.45,0,3,2,66.67,5,3,11,5,12,35.29,1,45,18,63,66.2,10,0,123,3,0,0
