player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Wael Mohya,Monchengladbach,F,17,Germany,germany,2526,32692.0,1700000.0
Rocco Reitz,Monchengladbach,M,23,Germany,germany,2526,32692.0,1700000.0
Janik Haberer,Union Berlin,M,31,Germany,germany,2526,32692.0,1700000.0
Nathan N'Goumou,Monchengladbach,F,25,Cameroon,germany,2526,32692.0,1700000.0
Alexis Claude-Maurice,Augsburg,F,27,France,germany,2526,32692.0,1700000.0
Benedikt Gimber,Heidenheim,D,28,Germany,germany,2526,32692.0,1700000.0
Woo-yeong Jeong,Union Berlin,F,26,South Korea,germany,2526,32692.0,1700000.0
Stefan Bell,Mainz,D,34,Germany,germany,2526,32692.0,1700000.0
Niklas Dorsch,Heidenheim,M,28,Germany,germany,2526,32692.0,1700000.0
Moritz Jenz,Wolfsburg,D,26,Germany,germany,2526,32692.0,1700000.0
András Schäfer,Union Berlin,M,26,Hungary,germany,2526,32692.0,1700000.0
Mathias Pereira Lage,St Pauli,F,29,Portugal,germany,2526,30769.0,1600000.0
Martijn Kaars,St Pauli,F,26,Netherlands,germany,2526,30769.0,1600000.0
Ezechiel Banzuzi,Leipzig,M,20,Netherlands,germany,2526,29038.0,1510000.0
Ameen Al-Dakhil,Stuttgart,D,23,Belgium,germany,2526,29038.0,1510000.0
Kevin Akpoguma,Hoffenheim,D,30,Nigeria,germany,2526,29038.0,1510000.0
Adrian Beck,Heidenheim,F,28,Germany,germany,2526,29038.0,1510000.0
Joe Scally,Monchengladbach,D,23,United States,germany,2526,29038.0,1510000.0
Jan Schöppner,Heidenheim,M,26,Germany,germany,2526,29038.0,1510000.0
Jonas Omlin,Monchengladbach,K,31,Switzerland,germany,2526,29038.0,1510000.0
Daniel-Kofi Kyereh,Freiburg,F,29,Ghana,germany,2526,29038.0,1510000.0
Badredine Bouanani,Stuttgart,F,21,Algeria,germany,2526,29038.0,1510000.0
Elvis Rexhbecaj,Augsburg,M,28,Kosovo,germany,2526,29038.0,1510000.0
Lukas Ullrich,Monchengladbach,D,21,Germany,germany,2526,29038.0,1510000.0
Andrej Ilic,Union Berlin,F,25,Serbia,germany,2526,29038.0,1510000.0
Danny da Costa,Mainz,D,32,Germany,germany,2526,29038.0,1510000.0
Fabian Rieder,Augsburg,F,23,Switzerland,germany,2526,29038.0,1510000.0
Linton Maina,Koln,F,26,Germany,germany,2526,29038.0,1510000.0
Rayan Philippe,Hamburg,F,25,France,germany,2526,29038.0,1510000.0
Oliver Burke,Union Berlin,F,28,Scotland,germany,2526,29038.0,1510000.0
Max Rosenfelder,Freiburg,D,22,Germany,germany,2526,29038.0,1510000.0
Rômulo,Leipzig,F,23,Brazil,germany,2526,29038.0,1510000.0
Justin Njinmah,Werder Bremen,F,25,Germany,germany,2526,29038.0,1510000.0
Albian Hajdari,Hoffenheim,D,22,Kosovo,germany,2526,29038.0,1510000.0
Diant Ramaj,Heidenheim,K,24,Germany,germany,2526,29038.0,1510000.0
Marco Grüll,Werder Bremen,F,27,Austria,germany,2526,29038.0,1510000.0
Jonas Omlin,Bayer Leverkusen,K,32,Switzerland,germany,2526,29038.0,1510000.0
Brajan Gruda,Leipzig,F,21,Germany,germany,2526,29038.0,1510000.0
Han-Noah Massengo,Augsburg,M,24,France,germany,2526,29038.0,1510000.0
Diogo Leite,Union Berlin,D,27,Portugal,germany,2526,29038.0,1510000.0
Philipp Sander,Monchengladbach,M,27,Germany,germany,2526,29038.0,1510000.0
Albert Sambi Lokonga,Hamburg,M,26,Belgium,germany,2526,29038.0,1510000.0
Florian Kainz,Koln,F,33,Austria,germany,2526,29038.0,1510000.0
Samuel Essende,Augsburg,F,28,Democratic Republic of the Congo,germany,2526,29038.0,1510000.0
David Nemeth,St Pauli,D,24,Austria,germany,2526,27308.0,1420000.0
