player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Rúben Ribeiro,Hatayspor,M,35,Portugal,turkey,2223,14615.0,760000.0
Ibrahim Sehic,Konyaspor,K,34,Bosnia-Herzegovina,turkey,2223,14423.0,750000.0
Miha Zajc,Fenerbahce,M,28,Slovenia,turkey,2223,14423.0,750000.0
Burak Kapacak,Karagumrukspor,F,23,Turkey,turkey,2223,14423.0,750000.0
Onur Bulut,Besiktas,D,28,Turkey,turkey,2223,14423.0,750000.0
Federico Macheda,Ankaragucu,F,31,Italy,turkey,2223,14423.0,750000.0
Jorman Campuzano,Giresunspor,M,26,Colombia,turkey,2223,14423.0,750000.0
Kévin Rodrigues,Adana Demirspor,D,28,Portugal,turkey,2223,14231.0,740000.0
Pêpê,Ankaragucu,M,25,Portugal,turkey,2223,13654.0,710000.0
Birkir Bjarnason,Adana Demirspor,F,34,Iceland,turkey,2223,13654.0,710000.0
Isaac Sackey,Umraniyespor,M,28,Ghana,turkey,2223,13654.0,710000.0
Joher Rassoul,Alanyaspor,D,27,Senegal,turkey,2223,13654.0,710000.0
Abdülkerim Bardakci,Galatasaray,D,28,Turkey,turkey,2223,13269.0,690000.0
Mustapha Yatabaré,Sivasspor,F,37,Mali,turkey,2223,13269.0,690000.0
Bengali-Fodé Koita,Kasimpasa,F,32,Guinea,turkey,2223,13077.0,680000.0
Tomas Pekhart,Gaziantep BB,F,33,Czech Republic,turkey,2223,12692.0,660000.0
Ruud Boffin,Antalyaspor,K,35,Belgium,turkey,2223,12692.0,660000.0
Fedor Kudryashov,Antalyaspor,D,35,Russia,turkey,2223,12500.0,650000.0
Dimitrios Kolovetsios,Kayserispor,D,31,Greece,turkey,2223,12500.0,650000.0
Kerem Aktürkoglu,Galatasaray,F,24,Turkey,turkey,2223,12500.0,650000.0
Mounir Chouiar,Kasimpasa,F,24,France,turkey,2223,12308.0,640000.0
Emiliano Viviano,Karagumrukspor,K,37,Italy,turkey,2223,12308.0,640000.0
Ertac Özbir,Adana Demirspor,K,33,Turkey,turkey,2223,12308.0,640000.0
Jordy Caicedo,Sivasspor,F,25,Ecuador,turkey,2223,12308.0,640000.0
Mounir Chouiar,Basaksehir,F,23,France,turkey,2223,12308.0,640000.0
Samu Saiz,Sivasspor,F,32,Spain,turkey,2223,12308.0,640000.0
Magomed Ozdoev,Karagumrukspor,M,30,Russia,turkey,2223,12308.0,640000.0
Steven Caulker,Karagumrukspor,D,30,Sierra Leone,turkey,2223,12308.0,640000.0
Uros Radakovic,Ankaragucu,D,28,Serbia,turkey,2223,12308.0,640000.0
Mickaël Malsa,Kasimpasa,M,27,Martinique,turkey,2223,12308.0,640000.0
Yunus Akgün,Galatasaray,F,22,Turkey,turkey,2223,12308.0,640000.0
Ismail Yüksek,Fenerbahce,M,24,Turkey,turkey,2223,12115.0,630000.0
Necip Uysal,Besiktas,D,32,Turkey,turkey,2223,12115.0,630000.0
Andreas Bouchalakis,Konyaspor,M,29,Greece,turkey,2223,12115.0,630000.0
Atiba Hutchinson,Besiktas,M,40,Canada,turkey,2223,12115.0,630000.0
Arda Güler,Fenerbahce,F,17,Turkey,turkey,2223,12115.0,630000.0
Miguel Crespo,Fenerbahce,M,26,Portugal,turkey,2223,12115.0,630000.0
Yonathan Del Valle,Umraniyespor,F,32,Venezuela,turkey,2223,11731.0,610000.0
Eduart Rroca,Istanbulspor,M,29,Albania,turkey,2223,11731.0,610000.0
Alexandru Epureanu,Umraniyespor,D,36,Moldova,turkey,2223,11731.0,610000.0
Kaan Ayhan,Galatasaray,D,28,Turkey,turkey,2223,11538.0,600000.0
Sacha Boey,Galatasaray,D,22,France,turkey,2223,11538.0,600000.0
Mahmut Tekdemir,Basaksehir,M,35,Turkey,turkey,2223,11538.0,600000.0
Bersant Celina,Kasimpasa,F,26,Kosovo,turkey,2223,11538.0,600000.0
Simon Falette,Hatayspor,D,31,Guinea,turkey,2223,11538.0,600000.0
Jorge Morel,Adana Demirspor,M,25,Paraguay,turkey,2223,11346.0,590000.0
Jure Balkovec,Alanyaspor,D,28,Slovenia,turkey,2223,11154.0,580000.0
Emre Kilinc,Ankaragucu,F,28,Turkey,turkey,2223,11154.0,580000.0
Saba Lobjanidze,Karagumrukspor,F,28,Georgia,turkey,2223,11154.0,580000.0
Saba Lobjanidze,Hatayspor,F,27,Georgia,turkey,2223,11154.0,580000.0
Francisco Calvo,Konyaspor,D,30,Costa Rica,turkey,2223,11154.0,580000.0
Onurcan Piri,Giresunspor,K,28,Turkey,turkey,2223,11154.0,580000.0
Stelios Kitsiou,Ankaragucu,D,29,Greece,turkey,2223,11154.0,580000.0
Taylan Antalyali,Ankaragucu,M,28,Turkey,turkey,2223,11154.0,580000.0
Hüseyin Türkmen,Trabzonspor,D,25,Turkey,turkey,2223,11154.0,580000.0
Ramazan Civelek,Kayserispor,F,27,Turkey,turkey,2223,10769.0,560000.0
Lionel Carole,Kayserispor,D,31,France,turkey,2223,10769.0,560000.0
Admir Mehmedi,Antalyaspor,F,31,Switzerland,turkey,2223,10769.0,560000.0
Matteo Ricci,Karagumrukspor,M,28,Italy,turkey,2223,10769.0,560000.0
Strahil Popov,Umraniyespor,D,32,Bulgaria,turkey,2223,10577.0,550000.0
Mehmet Yesil,Istanbulspor,D,24,Turkey,turkey,2223,10577.0,550000.0
Christian Atsu,Hatayspor,F,30,Ghana,turkey,2223,10577.0,550000.0
Yusuf Erdogan,Trabzonspor,D,30,Turkey,turkey,2223,10385.0,540000.0
Max Gradel,Sivasspor,F,35,Cote d'Ivoire,turkey,2223,10385.0,540000.0
Ayoub El Kaabi,Hatayspor,F,29,Morocco,turkey,2223,10385.0,540000.0
Onur Ergün,Hatayspor,M,30,Turkey,turkey,2223,10385.0,540000.0
Kerim Frei,Karagumrukspor,F,29,Turkey,turkey,2223,10385.0,540000.0
Caner Erkin,Basaksehir,D,34,Turkey,turkey,2223,10385.0,540000.0
Konrad Michalak,Konyaspor,F,25,Poland,turkey,2223,10385.0,540000.0
Fredrik Gulbrandsen,Adana Demirspor,F,30,Norway,turkey,2223,10385.0,540000.0
Yaw Ackah,Kayserispor,M,23,Ghana,turkey,2223,10192.0,530000.0
Brandley Kuwas,Giresunspor,F,30,Curacao,turkey,2223,10192.0,530000.0
Muhammed Sengezer,Basaksehir,K,26,Turkey,turkey,2223,10192.0,530000.0
Riad Bajić,Giresunspor,F,28,Bosnia-Herzegovina,turkey,2223,10192.0,530000.0
Alexis Pérez,Giresunspor,D,28,Colombia,turkey,2223,9808.0,510000.0
Ahmet Oguz,Konyaspor,D,30,Turkey,turkey,2223,9808.0,510000.0
Mbaye Diagne,Karagumrukspor,F,31,Senegal,turkey,2223,9808.0,510000.0
Robin Yalcin,Sivasspor,M,29,Germany,turkey,2223,9808.0,510000.0
Eslem Öztürk,Istanbulspor,M,25,Turkey,turkey,2223,9808.0,510000.0
Stelios Kitsiou,Gaziantep BB,D,28,Greece,turkey,2223,9808.0,510000.0
Sofiane Feghouli,Karagumrukspor,F,33,Algeria,turkey,2223,9615.0,500000.0
Umut Nayir,Umraniyespor,F,29,Turkey,turkey,2223,9615.0,500000.0
Ángelo Sagal,Gaziantep BB,F,29,Chile,turkey,2223,9615.0,500000.0
Jimmy Durmaz,Karagumrukspor,M,33,Sweden,turkey,2223,9615.0,500000.0
Mathias Ross,Galatasaray,D,22,Denmark,turkey,2223,9615.0,500000.0
Tolga Cigerci,Ankaragucu,M,30,Turkey,turkey,2223,9615.0,500000.0
Danijel Aleksic,Basaksehir,F,31,Serbia,turkey,2223,9615.0,500000.0
Gökhan Töre,Adana Demirspor,F,31,Turkey,turkey,2223,9423.0,490000.0
Zouhair Feddal,Alanyaspor,D,33,Morocco,turkey,2223,9423.0,490000.0
Manolis Siopis,Trabzonspor,M,28,Greece,turkey,2223,9231.0,480000.0
Efthymios Koulouris,Alanyaspor,F,26,Greece,turkey,2223,9231.0,480000.0
Serkan Kirintili,Umraniyespor,K,38,Turkey,turkey,2223,8846.0,460000.0
Ermir Lenjani,Umraniyespor,D,33,Albania,turkey,2223,8846.0,460000.0
Evren Eren Elmali,Trabzonspor,D,22,Turkey,turkey,2223,8846.0,460000.0
Efkan Bekiroglu,Alanyaspor,M,27,Turkey,turkey,2223,8846.0,460000.0
Mickaël Tirpan,Kasimpasa,M,29,Belgium,turkey,2223,8846.0,460000.0
Majid Hosseini,Kayserispor,D,26,Iran,turkey,2223,8846.0,460000.0
Joseph Attamah,Kayserispor,M,28,Ghana,turkey,2223,8846.0,460000.0
Soner Aydogdu,Antalyaspor,M,31,Turkey,turkey,2223,8846.0,460000.0
Tarkan Serbest,Kasimpasa,D,28,Turkey,turkey,2223,8846.0,460000.0
Erce Kardesler,Hatayspor,K,28,Turkey,turkey,2223,8846.0,460000.0
David Jensen,Istanbulspor,K,30,Denmark,turkey,2223,8846.0,460000.0
Clinton N'Jie,Sivasspor,F,29,Cameroon,turkey,2223,8654.0,450000.0
Karol Angielski,Sivasspor,F,26,Poland,turkey,2223,8654.0,450000.0
Adi Mehremic,Istanbulspor,D,30,Bosnia-Herzegovina,turkey,2223,8654.0,450000.0
Naci Ünüvar,Trabzonspor,F,19,Netherlands,turkey,2223,8654.0,450000.0
Goran Karacic,Adana Demirspor,K,26,Bosnia-Herzegovina,turkey,2223,8654.0,450000.0
Mert Hakan Yandas,Fenerbahce,M,28,Turkey,turkey,2223,8654.0,450000.0
Ghayas Zahid,Ankaragucu,F,28,Norway,turkey,2223,8654.0,450000.0
Enock Kwateng,Ankaragucu,D,25,France,turkey,2223,8462.0,440000.0
Amilton,Konyaspor,F,33,Brazil,turkey,2223,8462.0,440000.0
Kartal Yilmaz,Umraniyespor,M,22,Turkey,turkey,2223,8462.0,440000.0
Kristal Abazaj,Istanbulspor,F,26,Albania,turkey,2223,8462.0,440000.0
Yusuf Erdogan,Adana Demirspor,F,30,Turkey,turkey,2223,8462.0,440000.0
Britt Assombalonga,Adana Demirspor,F,29,Democratic Republic of the Congo,turkey,2223,8462.0,440000.0
Marlos Moreno,Konyaspor,F,26,Colombia,turkey,2223,8269.0,430000.0
Carlos Mané,Kayserispor,F,28,Portugal,turkey,2223,8269.0,430000.0
Daniel Candeias,Alanyaspor,F,34,Portugal,turkey,2223,7885.0,410000.0
Jetmir Topalli,Istanbulspor,F,25,Kosovo,turkey,2223,7885.0,410000.0
Sam Adekugbe,Hatayspor,D,27,Canada,turkey,2223,7885.0,410000.0
Sam Adekugbe,Galatasaray,D,28,Canada,turkey,2223,7885.0,410000.0
Cebrail Karayel,Konyaspor,D,28,Turkey,turkey,2223,7885.0,410000.0
Aldin Cajic,Istanbulspor,M,29,Bosnia-Herzegovina,turkey,2223,7692.0,400000.0
Patryk Szysz,Basaksehir,F,24,Poland,turkey,2223,7692.0,400000.0
Eren Derdiyok,Ankaragucu,F,34,Switzerland,turkey,2223,7692.0,400000.0
Volkan Babacan,Basaksehir,K,34,Turkey,turkey,2223,7692.0,400000.0
Günay Güvenc,Gaziantep BB,K,31,Turkey,turkey,2223,7692.0,400000.0
Günay Güvenc,Kasimpasa,K,31,Turkey,turkey,2223,7692.0,400000.0
Muhammet Demir,Konyaspor,F,31,Turkey,turkey,2223,7692.0,400000.0
Marlon,Ankaragucu,D,25,Brazil,turkey,2223,7500.0,390000.0
Charilaos Charisis,Sivasspor,M,28,Greece,turkey,2223,7500.0,390000.0
Dogucan Haspolat,Trabzonspor,M,23,Turkey,turkey,2223,7500.0,390000.0
Sergio,Giresunspor,F,27,Brazil,turkey,2223,7500.0,390000.0
Ertugrul Taskiran,Kasimpasa,K,33,Turkey,turkey,2223,7500.0,390000.0
Allyson,Umraniyespor,D,32,Brazil,turkey,2223,7500.0,390000.0
David Akintola,Adana Demirspor,F,27,Nigeria,turkey,2223,7500.0,390000.0
Mario Gavranovic,Kayserispor,F,33,Switzerland,turkey,2223,7500.0,390000.0
Görkem Saglam,Giresunspor,F,24,Turkey,turkey,2223,7500.0,390000.0
Olarenwaju Kayode,Umraniyespor,F,29,Nigeria,turkey,2223,7500.0,390000.0
Tomislav Glumac,Umraniyespor,D,31,Croatia,turkey,2223,7500.0,390000.0
Borja Sainz,Giresunspor,F,22,Spain,turkey,2223,7500.0,390000.0
Mamadou Fall,Kasimpasa,F,31,Senegal,turkey,2223,7308.0,380000.0
Zymer Bytyqi,Konyaspor,F,25,Kosovo,turkey,2223,7308.0,380000.0
