player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Vicente Guaita,Celta Vigo,K,37,Spain,spain,2324,46154.0,2400000.0
Hamari Traoré,Real Sociedad,D,32,Mali,spain,2324,46154.0,2400000.0
Juanmi,Cadiz,F,30,Spain,spain,2324,46154.0,2400000.0
William Carvalho,Real Betis,M,31,Portugal,spain,2324,45192.0,2350000.0
Óliver Torres,Sevilla,M,29,Spain,spain,2324,44231.0,2300000.0
Sergio Ramos,Sevilla,D,37,Spain,spain,2324,44038.0,2290000.0
Sokratis,Real Betis,D,35,Greece,spain,2324,44038.0,2290000.0
Willian José,Real Betis,F,32,Brazil,spain,2324,42308.0,2200000.0
Iker Muniain,Athletic Club,F,31,Spain,spain,2324,42308.0,2200000.0
Jaime Mata,Getafe,F,35,Spain,spain,2324,41154.0,2140000.0
Lucas Torró,Osasuna,M,29,Spain,spain,2324,40000.0,2080000.0
Filip Jørgensen,Villarreal,K,22,Denmark,spain,2324,40000.0,2080000.0
Luís Maximiano,Almeria,K,25,Portugal,spain,2324,40000.0,2080000.0
Hugo Duro,Valencia,F,24,Spain,spain,2324,40000.0,2080000.0
Aitor Paredes,Athletic Club,D,23,Spain,spain,2324,40000.0,2080000.0
Gorka Guruzeta,Athletic Club,F,27,Spain,spain,2324,40000.0,2080000.0
Mikel Vesga,Athletic Club,M,30,Spain,spain,2324,40000.0,2080000.0
Raúl García,Athletic Club,F,37,Spain,spain,2324,40000.0,2080000.0
Pablo Barrios,Atletico Madrid,M,20,Spain,spain,2324,40000.0,2080000.0
Umar Sadiq,Real Sociedad,F,27,Nigeria,spain,2324,40000.0,2080000.0
Aritz Elustondo,Real Sociedad,D,29,Spain,spain,2324,40000.0,2080000.0
Nemanja Maksimovic,Getafe,M,29,Serbia,spain,2324,40000.0,2080000.0
Marc Bartra,Real Betis,D,33,Spain,spain,2324,40000.0,2080000.0
Chimy Ávila,Real Betis,F,29,Argentina,spain,2324,40000.0,2080000.0
Miguel Crespo,Rayo Vallecano,M,27,Portugal,spain,2324,40000.0,2080000.0
Isi Palazón,Rayo Vallecano,F,29,Spain,spain,2324,40000.0,2080000.0
Florian Lejeune,Rayo Vallecano,D,32,France,spain,2324,40000.0,2080000.0
Fran Beltrán,Celta Vigo,M,24,Spain,spain,2324,38462.0,2000000.0
Álex Baena,Villarreal,F,22,Spain,spain,2324,38462.0,2000000.0
Juan Foyth,Villarreal,D,26,Argentina,spain,2324,38462.0,2000000.0
Hugo Guillamón,Valencia,M,24,Spain,spain,2324,36923.0,1920000.0
Étienne Capoue,Villarreal,M,35,France,spain,2324,36538.0,1900000.0
Rafa Mir,Sevilla,F,26,Spain,spain,2324,36538.0,1900000.0
Portu,Girona,F,31,Spain,spain,2324,36154.0,1880000.0
Jorge de Frutos,Rayo Vallecano,F,26,Spain,spain,2324,36154.0,1880000.0
