,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
Pablo Fornals,"€ 60,000","€ 3,120,000","€ 3,120,000",F,27,Spain,Real Betis,spain,2324
Ander Barrenetxea,"€ 60,000","€ 3,120,000","€ 3,120,000",F,22,Spain,Real Sociedad,spain,2324
Héctor Bellerín,"€ 60,000","€ 3,120,000","€ 3,120,000",D,28,Spain,Real Betis,spain,2324
Javi Galán,"€ 60,000","€ 3,120,000","€ 3,120,000",D,28,Spain,Atletico Madrid,spain,2324
Igor Zubeldia,"€ 60,000","€ 3,120,000","€ 3,120,000",D,26,Spain,Real Sociedad,spain,2324
Djené,"€ 60,000","€ 3,120,000","€ 3,120,000",D,32,Togo,Getafe,spain,2324
Raúl de Tomás,"€ 59,615","€ 3,100,000","€ 3,100,000",F,29,Spain,Rayo Vallecano,spain,2324
Marc Roca,"€ 58,269","€ 3,030,000","€ 3,030,000",M,27,Spain,Real Betis,spain,2324
Youssef En-Nesyri,"€ 57,692","€ 3,000,000","€ 3,000,000",F,26,Morocco,Sevilla,spain,2324
Martín Zubimendi,"€ 57,692","€ 3,000,000","€ 3,000,000",M,25,Spain,Real Sociedad,spain,2324
Sergiño Dest,"€ 57,692","€ 3,000,000","€ 3,000,000",D,22,United States,Barcelona,spain,2324
Dodi Lukébakio,"€ 57,692","€ 3,000,000","€ 3,000,000",F,26,Belgium,Sevilla,spain,2324
Ander Herrera,"€ 57,692","€ 3,000,000","€ 3,000,000",M,34,Spain,Athletic Club,spain,2324
Clément Lenglet,"€ 57,692","€ 3,000,000","€ 3,000,000",D,28,France,Barcelona,spain,2324
Iago Aspas,"€ 56,154","€ 2,920,000","€ 2,920,000",F,36,Spain,Celta Vigo,spain,2324
Marcos Acuña,"€ 55,769","€ 2,900,000","€ 2,900,000",D,32,Argentina,Sevilla,spain,2324
Raúl Albiol,"€ 54,615","€ 2,840,000","€ 2,840,000",D,38,Spain,Villarreal,spain,2324
Andriy Lunin,"€ 54,038","€ 2,810,000","€ 2,810,000",K,24,Ukraine,Real Madrid,spain,2324
Suso,"€ 53,846","€ 2,800,000","€ 2,800,000",F,30,Spain,Sevilla,spain,2324
Robin Le Normand,"€ 53,846","€ 2,800,000","€ 2,800,000",D,27,Spain,Real Sociedad,spain,2324
Fernando,"€ 53,846","€ 2,800,000","€ 2,800,000",M,36,Brazil,Sevilla,spain,2324
Dani García,"€ 53,269","€ 2,770,000","€ 2,770,000",M,33,Spain,Athletic Club,spain,2324
Ansu Fati,"€ 52,115","€ 2,710,000","€ 2,710,000",F,20,Spain,Barcelona,spain,2324
Sergi Darder,"€ 51,923","€ 2,700,000","€ 2,700,000",M,30,Spain,Mallorca,spain,2324
Cédric Bakambu,"€ 51,923","€ 2,700,000","€ 2,700,000",F,32,Democratic Republic of the Congo,Real Betis,spain,2324
Álvaro Odriozola,"€ 51,923","€ 2,700,000","€ 2,700,000",D,28,Spain,Real Sociedad,spain,2324
Viktor Tsyhankov,"€ 51,923","€ 2,700,000","€ 2,700,000",F,26,Ukraine,Girona,spain,2324
Roman Yaremchuk,"€ 50,000","€ 2,600,000","€ 2,600,000",F,28,Ukraine,Valencia,spain,2324
Gabriel Paulista,"€ 50,000","€ 2,600,000","€ 2,600,000",D,33,Brazil,Atletico Madrid,spain,2324
Carles Pérez,"€ 49,231","€ 2,560,000","€ 2,560,000",F,25,Spain,Celta Vigo,spain,2324
Joselu,"€ 48,077","€ 2,500,000","€ 2,500,000",F,33,Spain,Real Madrid,spain,2324
