,,EST. BASE SALARY,EST. BASE SALARY,EST. BONUS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,BIO,BIO,BIO,BIO,BIO,,,,data_country,data_season
PLAYER,,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","GROSS P/Y
(EUR)",SIGNED,EXPIRATION,YEARS REMAINING,"GROSS REMAINING
(EUR)","RELEASE CLAUSE
(EUR)",STATUS,POS.,POS.,AGE,COUNTRY,CLUB,ACTIVE,LOAN,,
Florian Thauvin,,"€ 62,885","€ 3,270,000","€ 820,000","Aug 8, 2025","Jun 30, 2028",3,"€ 9,810,000",,Starter,F,RW,33,France,Lens,True,,france,2526
Sofiane Diop,,"€ 62,885","€ 3,270,000","€ 820,000","Aug 29, 2022","Jun 30, 2027",2,"€ 6,540,000",,Starter,F,LW,25,Morocco,Nice,True,,france,2526
Melvin Bard,,"€ 62,885","€ 3,270,000","€ 820,000","Sep 2, 2024","Jun 30, 2028",3,"€ 9,810,000",,Reserve,D,LB,25,France,Nice,True,,france,2526
Folarin Balogun,,"€ 61,923","€ 3,220,000","€ 800,000","Aug 30, 2023","Jun 30, 2028",3,"€ 9,660,000",,Starter,F,CF,24,United States,Monaco,True,,france,2526
Mohammed Salisu,,"€ 61,923","€ 3,220,000","€ 800,000","Aug 1, 2023","Jun 30, 2028",3,"€ 9,660,000",,Reserve,D,CB,26,Ghana,Monaco,True,,france,2526
Maghnes Akliouche,,"€ 61,923","€ 3,220,000","€ 800,000","Jul 25, 2024","Jun 30, 2028",3,"€ 9,660,000",,Reserve,F,RW,23,France,Monaco,True,,france,2526
Vanderson,,"€ 61,923","€ 3,220,000","€ 800,000","Feb 2, 2024","Jun 30, 2028",3,"€ 9,660,000",,Reserve,D,RB,24,Brazil,Monaco,True,,france,2526
Charles Vanhoutte,,"€ 59,423","€ 3,090,000","€ 770,000","Sep 1, 2025","Jun 30, 2029",4,"€ 12,360,000",,Starter,M,DM,27,Belgium,Nice,True,,france,2526
Odsonne Édouard,,"€ 59,423","€ 3,090,000","€ 770,000","Sep 1, 2025","Jun 30, 2028",3,"€ 9,270,000",,Starter,F,CF,28,France,Lens,True,,france,2526
Przemyslaw Frankowski,,"€ 59,423","€ 3,090,000","€ 770,000","Aug 5, 2025","Jun 30, 2026",1,"€ 3,090,000",,Reserve,M,RM,30,Poland,Rennes,True,,france,2526
Krépin Diatta,,"€ 57,500","€ 2,990,000","€ 750,000","Jan 21, 2021","Jun 30, 2026",1,"€ 2,990,000",,Starter,F,RW,26,Senegal,Monaco,True,,france,2526
Caio Henrique,,"€ 57,500","€ 2,990,000","€ 750,000","Aug 12, 2022","Jun 30, 2027",2,"€ 5,980,000",,Starter,D,LB,28,Brazil,Monaco,True,,france,2526
Mahdi Camara,,"€ 55,962","€ 2,910,000","€ 730,000","Aug 13, 2025","Jun 30, 2029",4,"€ 11,640,000",,Starter,M,CM,27,France,Rennes,True,,france,2526
Tanner Tessmann,,"€ 55,962","€ 2,910,000","€ 730,000","Aug 27, 2024","Jun 30, 2029",4,"€ 11,640,000",,Starter,M,DM,24,United States,Lyon,True,,france,2526
Adrien Thomasson,,"€ 55,962","€ 2,910,000","€ 730,000","Jan 12, 2023","Jun 30, 2026",1,"€ 2,910,000",,Starter,M,CM,32,France,Lens,True,,france,2526
Yehvann Diouf,,"€ 55,962","€ 2,910,000","€ 730,000","Jul 3, 2025","Jun 30, 2030",5,"€ 14,550,000",,Reserve,K,GK,26,Senegal,Nice,True,,france,2526
Michael Murillo,,"€ 55,962","€ 2,910,000","€ 730,000","Mar 7, 2025","Jun 30, 2028",3,"€ 8,730,000",,Reserve,D,RB,29,Panama,Marseille,True,,france,2526
Amadou Haidara,,"€ 55,962","€ 2,910,000","€ 1,270,000","Jan 1, 2026","Jun 30, 2029",4,"€ 11,640,000",,Reserve,M,CM,28,Mali,Lens,True,,france,2526
Mika Biereth,,"€ 55,192","€ 2,870,000","€ 720,000","Jul 17, 2025","Jun 30, 2030",5,"€ 14,350,000",,Reserve,F,CF,22,Denmark,Monaco,True,,france,2526
Quentin Merlin,,"€ 52,500","€ 2,730,000","€ 680,000","Jul 22, 2025","Jun 30, 2029",4,"€ 10,920,000",,Starter,M,LM,23,France,Rennes,True,,france,2526
Kevin Trapp,,"€ 52,500","€ 2,730,000","€ 680,000","Aug 19, 2025","Jun 30, 2028",3,"€ 8,190,000",,Starter,K,GK,35,Germany,Paris FC,True,,france,2526
Youssouf Ndayishimiye,,"€ 52,500","€ 2,730,000","€ 680,000","Jan 25, 2023","Jun 30, 2027",2,"€ 5,460,000",,Reserve,D,CB,27,Burundi,Nice,True,,france,2526
Romain Del Castillo,,"€ 52,500","€ 2,730,000","€ 680,000","Nov 17, 2023","Jun 30, 2027",2,"€ 5,460,000",,Starter,F,RW,29,France,Brest,True,,france,2526
Mostafa Mohamed,,"€ 52,500","€ 2,730,000","€ 680,000","Jul 1, 2023","Jun 30, 2027",2,"€ 5,460,000",,Reserve,F,CF,28,Egypt,Nantes,True,,france,2526
Jonathan Gradit,,"€ 52,500","€ 2,730,000","€ 680,000","Apr 9, 2025","Jun 30, 2028",3,"€ 8,190,000",,Reserve,D,CB,33,France,Lens,True,,france,2526
Chancel Mbemba,,"€ 52,500","€ 2,730,000","€ 680,000","Sep 1, 2025","Jun 30, 2026",1,"€ 2,730,000",,Reserve,D,CB,31,Democratic Republic of the Congo,Lille,True,,france,2526
Estéban Lepaul,,"€ 52,500","€ 2,730,000","€ 680,000","Aug 28, 2025","Jun 30, 2029",4,"€ 10,920,000",,Starter,F,CF,25,France,Rennes,True,,france,2526
Lilian Brassier,,"€ 52,500","€ 2,730,000","€ 680,000","Jul 1, 2025","Jun 30, 2029",4,"€ 10,920,000",,Starter,D,CB,26,France,Rennes,True,,france,2526
Olivier Giroud,,"€ 52,500","€ 2,730,000","€ 680,000","Jul 1, 2025","Jun 30, 2026",1,"€ 2,730,000",,Starter,F,CF,39,France,Lille,True,,france,2526
Seko Fofana,,"€ 52,500","€ 2,730,000","€ 680,000","Jan 1, 2025","Jun 30, 2029",4,"€ 10,920,000",,Reserve,M,CM,30,Cote d'Ivoire,Rennes,False,,france,2526
Gerónimo Rulli,,"€ 52,500","€ 2,730,000","€ 680,000","Aug 11, 2024","Jun 30, 2027",2,"€ 5,460,000",,Starter,K,GK,33,Argentina,Marseille,True,,france,2526
Arthur Vermeeren,,"€ 52,500","€ 2,730,000","€ 680,000","Aug 31, 2025","Jun 30, 2026",1,"€ 2,730,000",,Starter,M,DM,20,Belgium,Marseille,True,,france,2526
Pavel Sulc,,"€ 52,500","€ 2,730,000","€ 680,000","Aug 4, 2025","Jun 30, 2029",4,"€ 10,920,000",,Starter,F,AM,25,Czech Republic,Lyon,True,,france,2526
Malick Fofana,,"€ 52,500","€ 2,730,000","€ 680,000","Jan 10, 2024","Jun 30, 2028",3,"€ 8,190,000",,Reserve,F,LW,20,Belgium,Lyon,True,,france,2526
Brendan Chardonnet,,"€ 52,500","€ 2,730,000","€ 680,000","Nov 7, 2024","Jun 30, 2027",2,"€ 5,460,000",,Starter,D,CB,31,France,Brest,True,,france,2526
Moses Simon,,"€ 52,500","€ 2,730,000","€ 680,000","Jul 1, 2025","Jun 30, 2028",3,"€ 8,190,000",,Reserve,F,LW,30,Nigeria,Paris FC,True,,france,2526
Ansu Fati,,"€ 50,769","€ 2,640,000","€ 660,000","Jul 1, 2025","Jun 30, 2026",1,"€ 2,640,000",,Reserve,F,LW,23,Spain,Monaco,True,,france,2526
Julio Enciso,,"€ 49,038","€ 2,550,000","€ 640,000","Sep 1, 2025","Jun 30, 2029",4,"€ 10,200,000",,Starter,F,AM,22,Paraguay,Strasbourg,True,,france,2526
Abner,,"€ 49,038","€ 2,550,000","€ 640,000","Jul 5, 2024","Jun 30, 2029",4,"€ 10,200,000",,Starter,D,LB,25,Brazil,Lyon,True,,france,2526
Ludovic Ajorque,,"€ 49,038","€ 2,550,000","€ 640,000","Jul 1, 2025","Jun 30, 2027",2,"€ 5,100,000",,Starter,F,CF,31,France,Brest,True,,france,2526
Ethan Nwaneri,,"€ 47,115","€ 2,450,000","€ 610,000","Jan 23, 2026","Jun 30, 2026",1,"€ 2,450,000",,Reserve,F,AM,18,England,Marseille,True,,france,2526
Romain Perraud,,"€ 45,385","€ 2,360,000","€ 590,000","Aug 8, 2025","Jun 30, 2028",3,"€ 7,080,000",,Reserve,D,LB,28,France,Lille,True,,france,2526
Ruben Aguilar,,"€ 45,385","€ 2,360,000","€ 590,000","May 16, 2025","Jun 30, 2028",3,"€ 7,080,000",,Reserve,D,RB,32,France,Lens,True,,france,2526
Mama Baldé,,"€ 45,385","€ 2,360,000","€ 590,000","Aug 30, 2024","Jun 30, 2027",2,"€ 4,720,000",,Reserve,F,CF,30,Guinea-Bissau,Brest,True,,france,2526
Gaëtan Perrin,,"€ 45,385","€ 2,360,000","€ 590,000","Feb 2, 2026","Jun 30, 2028",3,"€ 7,080,000",,Starter,F,RW,29,France,Lille,True,,france,2526
Pierre Lees-Melou,,"€ 45,385","€ 2,360,000","€ 590,000","Aug 28, 2025","Jun 30, 2027",2,"€ 4,720,000",,Starter,M,DM,32,France,Paris FC,True,,france,2526
Djibril Sidibé,,"€ 41,923","€ 2,180,000","€ 550,000","Aug 2, 2024","Jun 30, 2026",1,"€ 2,180,000",,Starter,D,RB,33,France,Toulouse,True,,france,2526
Gauthier Hein,,"€ 41,923","€ 2,180,000","€ 550,000","Aug 15, 2024","Jun 30, 2028",3,"€ 6,540,000",,Reserve,F,RW,29,France,Metz,True,,france,2526
Ibrahima Sissoko,,"€ 41,923","€ 2,180,000","€ 550,000","Jan 12, 2026","Jun 30, 2028",3,"€ 6,540,000",,Reserve,M,DM,28,Mali,Nantes,True,,france,2526
Rasmus Nicolaisen,,"€ 41,923","€ 2,180,000","€ 550,000","Mar 29, 2024","Jun 30, 2027",2,"€ 4,360,000",,Starter,D,CB,28,Denmark,Toulouse,True,,france,2526
Jordan Teze,,"€ 41,923","€ 2,180,000","€ 550,000","Aug 20, 2024","Jun 30, 2029",4,"€ 8,720,000",,Starter,D,RB,26,Netherlands,Monaco,True,,france,2526
Malang Sarr,,"€ 41,923","€ 2,180,000","€ 550,000","Jul 26, 2024","Jun 30, 2026",1,"€ 2,180,000",,Starter,D,CB,27,France,Lens,True,,france,2526
Nicolas Cozza,,"€ 41,923","€ 2,180,000","€ 550,000","Jul 8, 2025","Jun 30, 2026",1,"€ 2,180,000",,Starter,D,LB,27,France,Nantes,True,,france,2526
Ali Abdi,,"€ 41,923","€ 2,180,000","€ 550,000","Feb 20, 2025","Jun 30, 2027",2,"€ 4,360,000",,Starter,D,LB,32,Tunisia,Nice,True,,france,2526
Habib Diallo,,"€ 41,923","€ 2,180,000","€ 550,000","Aug 31, 2025","Jun 30, 2028",3,"€ 6,540,000",,Starter,F,CF,30,Senegal,Metz,True,,france,2526
Senny Mayulu,,"€ 41,923","€ 2,180,000","€ 550,000","May 20, 2024","Jun 30, 2027",2,"€ 4,360,000",,Reserve,M,CM,19,France,PSG,True,,france,2526
Alexsandro,,"€ 41,923","€ 2,180,000","€ 550,000","Jan 15, 2024","Jun 30, 2028",3,"€ 6,540,000",,Reserve,D,CB,26,Brazil,Lille,True,,france,2526
Abdallah Sima,,"€ 41,923","€ 2,180,000","€ 550,000","Aug 29, 2025","Jun 30, 2029",4,"€ 8,720,000",,Reserve,F,LW,24,Senegal,Lens,True,,france,2526
Clinton Mata,,"€ 41,923","€ 2,180,000","€ 550,000","Aug 13, 2025","Jun 30, 2028",3,"€ 6,540,000",,Starter,D,CB,33,Angola,Lyon,True,,france,2526
Haris Belkebla,,"€ 41,923","€ 2,180,000","€ 550,000","Aug 17, 2024","Jun 30, 2026",1,"€ 2,180,000",,Starter,M,CM,32,Algeria,Angers,True,,france,2526
Jordan Lefort,,"€ 41,923","€ 2,180,000","€ 550,000","Dec 20, 2025","Jun 30, 2029",4,"€ 8,720,000",,Starter,D,CB,32,France,Angers,True,,france,2526
Otávio,,"€ 41,923","€ 2,180,000","€ 550,000","Jul 23, 2025","Jun 30, 2030",5,"€ 10,900,000",,Starter,D,CB,23,Brazil,Paris FC,True,,france,2526
Mousa Al-Tamari,,"€ 41,923","€ 2,180,000","€ 550,000","Feb 3, 2025","Jun 30, 2028",3,"€ 6,540,000",,Starter,M,LM,28,Jordan,Rennes,True,,france,2526
Radoslaw Majecki,,"€ 41,923","€ 2,180,000","€ 550,000","Aug 9, 2025","Jun 30, 2026",1,"€ 2,180,000",,Reserve,K,GK,26,Poland,Brest,True,,france,2526
Laurent Abergel,,"€ 41,923","€ 2,180,000","€ 550,000","May 30, 2024","Jun 30, 2029",4,"€ 8,720,000",,Starter,M,DM,33,France,Lorient,True,,france,2526
Marshall Munetsi,,"€ 40,192","€ 2,090,000","€ 520,000","Jan 16, 2026","Jun 30, 2026",1,"€ 2,090,000",,Starter,M,CM,29,Zimbabwe,Paris FC,True,,france,2526
Deiver Machado,,"€ 38,462","€ 2,000,000","€ 500,000","Dec 8, 2025","Jun 30, 2028",3,"€ 6,000,000",,Starter,D,LB,32,Colombia,Nantes,True,,france,2526
Hamari Traoré,,"€ 38,462","€ 2,000,000","€ 500,000","Sep 1, 2025","Jun 30, 2027",2,"€ 4,000,000",,Reserve,D,RB,34,Mali,Paris FC,True,,france,2526
Mamadou Sangaré,,"€ 38,462","€ 2,000,000","€ 500,000","Aug 20, 2025","Jun 30, 2030",5,"€ 10,000,000",,Reserve,M,CM,23,Mali,Lens,True,,france,2526
Matthieu Udol,,"€ 38,462","€ 2,000,000","€ 500,000","Jul 15, 2025","Jun 30, 2028",3,"€ 6,000,000",,Starter,D,LB,29,France,Lens,True,,france,2526
Lucas Tousart,,"€ 38,462","€ 2,000,000","€ 500,000","Sep 1, 2025","Jun 30, 2027",2,"€ 4,000,000",,Reserve,M,CM,28,France,Brest,True,,france,2526
Wesley Saïd,,"€ 38,462","€ 2,000,000","€ 500,000","Jan 17, 2023","Jun 30, 2026",1,"€ 2,000,000",,Reserve,F,CF,30,France,Lens,True,,france,2526
