,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
Moise Kean,"€ 54,231","€ 2,820,000","€ 2,820,000",F,24,Italy,Fiorentina,italy,2425
Juan Cuadrado,"€ 53,462","€ 2,780,000","€ 2,780,000",M,36,Colombia,Atalanta,italy,2425
Cesare Casadei,"€ 53,462","€ 2,780,000","€ 2,780,000",M,22,Italy,Torino,italy,2425
Andrea Petagna,"€ 53,462","€ 2,780,000","€ 2,780,000",F,29,Italy,Monza,italy,2425
Roberto Gagliardini,"€ 53,462","€ 2,780,000","€ 2,780,000",M,30,Italy,Monza,italy,2425
Eljif Elmas,"€ 53,462","€ 2,780,000","€ 2,780,000",F,25,North Macedonia,Torino,italy,2425
Giorgio Scalvini,"€ 53,462","€ 2,780,000","€ 2,780,000",D,21,Italy,Atalanta,italy,2425
Fabiano Parisi,"€ 53,462","€ 2,780,000","€ 2,780,000",D,24,Italy,Fiorentina,italy,2425
Alexis Sánchez,"€ 53,462","€ 2,780,000","€ 2,780,000",F,36,Chile,Udinese,italy,2425
Mattia Perin,"€ 53,462","€ 2,780,000","€ 2,780,000",K,32,Italy,Juventus,italy,2425
Francesco Acerbi,"€ 53,462","€ 2,780,000","€ 2,780,000",D,36,Italy,Inter Milan,italy,2425
Kristjan Asllani,"€ 53,462","€ 2,780,000","€ 2,780,000",M,22,Albania,Inter Milan,italy,2425
Hernani,"€ 53,462","€ 2,780,000","€ 2,780,000",M,30,Brazil,Parma,italy,2425
Danilo Cataldi,"€ 53,462","€ 2,780,000","€ 2,780,000",M,30,Italy,Fiorentina,italy,2425
Josep Martínez,"€ 53,462","€ 2,780,000","€ 2,780,000",K,26,Spain,Inter Milan,italy,2425
Andrea Belotti,"€ 53,462","€ 2,780,000","€ 2,780,000",F,30,Italy,Como,italy,2425
Marin Pongračić,"€ 51,731","€ 2,690,000","€ 2,690,000",D,27,Croatia,Fiorentina,italy,2425
Karol Linetty,"€ 49,808","€ 2,590,000","€ 2,590,000",M,30,Poland,Torino,italy,2425
Luca Mazzitelli,"€ 49,808","€ 2,590,000","€ 2,590,000",M,28,Italy,Como,italy,2425
Federico Gatti,"€ 49,808","€ 2,590,000","€ 2,590,000",D,26,Italy,Juventus,italy,2425
Timothy Weah,"€ 49,231","€ 2,560,000","€ 2,560,000",F,24,United States,Juventus,italy,2425
Yunus Musah,"€ 49,231","€ 2,560,000","€ 2,560,000",M,22,United States,AC Milan,italy,2425
Boulaye Dia,"€ 49,231","€ 2,560,000","€ 2,560,000",F,28,Senegal,Lazio,italy,2425
Gianluca Busio,"€ 49,231","€ 2,560,000","€ 2,560,000",M,22,United States,Venezia,italy,2425
Nikola Vlašić,"€ 49,231","€ 2,560,000","€ 2,560,000",F,27,Croatia,Torino,italy,2425
Mathías Olivera,"€ 49,231","€ 2,560,000","€ 2,560,000",D,27,Uruguay,Napoli,italy,2425
Zeki Çelik,"€ 49,231","€ 2,560,000","€ 2,560,000",D,27,Turkey,Roma,italy,2425
Sead Kolasinac,"€ 49,231","€ 2,560,000","€ 2,560,000",D,31,Bosnia-Herzegovina,Atalanta,italy,2425
Pierre Kalulu,"€ 49,231","€ 2,560,000","€ 2,560,000",D,24,France,Juventus,italy,2425
Éderson,"€ 49,231","€ 2,560,000","€ 2,560,000",M,25,Brazil,Atalanta,italy,2425
Fisayo Dele-Bashiru,"€ 46,346","€ 2,410,000","€ 2,410,000",F,23,Nigeria,Lazio,italy,2425
Tijjani Noslin,"€ 46,346","€ 2,410,000","€ 2,410,000",F,25,Netherlands,Lazio,italy,2425
Luca Pellegrini,"€ 46,346","€ 2,410,000","€ 2,410,000",D,25,Italy,Lazio,italy,2425
Florian Thauvin,"€ 44,423","€ 2,310,000","€ 2,310,000",F,32,France,Udinese,italy,2425
Ademola Lookman,"€ 44,423","€ 2,310,000","€ 2,310,000",F,27,Nigeria,Atalanta,italy,2425
Valentín Castellanos,"€ 44,423","€ 2,310,000","€ 2,310,000",F,26,Argentina,Lazio,italy,2425
Lucas Beltrán,"€ 44,423","€ 2,310,000","€ 2,310,000",F,23,Argentina,Fiorentina,italy,2425
Arkadiusz Milik,"€ 43,077","€ 2,240,000","€ 2,240,000",F,31,Poland,Juventus,italy,2425
Andrea Colpani,"€ 42,692","€ 2,220,000","€ 2,220,000",F,25,Italy,Fiorentina,italy,2425
Amir Richardson,"€ 42,692","€ 2,220,000","€ 2,220,000",M,23,Morocco,Fiorentina,italy,2425
Devyne Rensch,"€ 42,692","€ 2,220,000","€ 2,220,000",D,22,Netherlands,Roma,italy,2425
Michael Folorunsho,"€ 42,692","€ 2,220,000","€ 2,220,000",M,26,Italy,Fiorentina,italy,2425
Alfred Duncan,"€ 42,692","€ 2,220,000","€ 2,220,000",M,31,Ghana,Venezia,italy,2425
Juan Cabal,"€ 42,692","€ 2,220,000","€ 2,220,000",D,24,Colombia,Juventus,italy,2425
Sergi Roberto,"€ 42,692","€ 2,220,000","€ 2,220,000",M,32,Spain,Como,italy,2425
Patric,"€ 42,692","€ 2,220,000","€ 2,220,000",D,31,Spain,Lazio,italy,2425
Rafa Marín,"€ 42,692","€ 2,220,000","€ 2,220,000",D,22,Spain,Napoli,italy,2425
Michael Folorunsho,"€ 42,692","€ 2,220,000","€ 2,220,000",M,26,Italy,Napoli,italy,2425
Luca Ranieri,"€ 42,692","€ 2,220,000","€ 2,220,000",D,25,Italy,Fiorentina,italy,2425
Juan Miranda,"€ 42,692","€ 2,220,000","€ 2,220,000",D,25,Spain,Bologna,italy,2425
Lloyd Kelly,"€ 42,692","€ 2,220,000","€ 2,220,000",D,26,England,Juventus,italy,2425
Khvicha Kvaratskhelia,"€ 39,423","€ 2,050,000","€ 2,050,000",F,23,Georgia,Napoli,italy,2425
Pablo Marí,"€ 39,423","€ 2,050,000","€ 2,050,000",D,31,Spain,Fiorentina,italy,2425
Suat Serdar,"€ 39,423","€ 2,050,000","€ 2,050,000",M,27,Germany,Hellas Verona,italy,2425
Toma Bašić,"€ 39,423","€ 2,050,000","€ 2,050,000",M,28,Croatia,Lazio,italy,2425
Pablo Marí,"€ 39,423","€ 2,050,000","€ 2,050,000",D,31,Spain,Monza,italy,2425
Daniel Maldini,"€ 39,231","€ 2,040,000","€ 2,040,000",F,23,Italy,Atalanta,italy,2425
Gianluca Lapadula,"€ 39,231","€ 2,040,000","€ 2,040,000",F,34,Peru,Cagliari,italy,2425
Tommaso Baldanzi,"€ 38,462","€ 2,000,000","€ 2,000,000",F,21,Italy,Roma,italy,2425
