,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
Maxwel Cornet,"€ 75,301","€ 3,915,633","€ 3,915,633",F,27,Cote d'Ivoire,Southampton,england,2425
Timothy Castagne,"€ 75,301","€ 3,915,633","€ 3,915,633",D,29,Belgium,Fulham,england,2425
Lukasz Fabianski,"€ 75,301","€ 3,915,633","€ 3,915,633",K,39,Poland,West Ham,england,2425
Jonny Evans,"€ 75,301","€ 3,915,633","€ 3,915,633",D,37,Northern Ireland,Manchester United,england,2425
Luis Sinisterra,"€ 75,301","€ 3,915,633","€ 3,915,633",F,25,Colombia,Bournemouth,england,2425
Saša Lukić,"€ 72,984","€ 3,795,152","€ 3,795,152",M,28,Serbia,Fulham,england,2425
Antony,"€ 69,508","€ 3,614,431","€ 3,614,431",F,24,Brazil,Manchester United,england,2425
Giorgi Mamardashvili,"€ 69,508","€ 3,614,431","€ 3,614,431",K,24,Georgia,Liverpool,england,2425
José Sá,"€ 69,508","€ 3,614,431","€ 3,614,431",K,32,Portugal,Wolverhampton,england,2425
André Trindade,"€ 69,508","€ 3,614,431","€ 3,614,431",M,23,Brazil,Wolverhampton,england,2425
Ross Barkley,"€ 69,508","€ 3,614,431","€ 3,614,431",M,31,England,Aston Villa,england,2425
Lewis Cook,"€ 69,508","€ 3,614,431","€ 3,614,431",M,28,England,Bournemouth,england,2425
Tyler Adams,"€ 69,508","€ 3,614,431","€ 3,614,431",M,25,United States,Bournemouth,england,2425
Danny Welbeck,"€ 69,508","€ 3,614,431","€ 3,614,431",F,34,England,Brighton,england,2425
James Milner,"€ 69,508","€ 3,614,431","€ 3,614,431",M,39,England,Brighton,england,2425
Mats Wieffer,"€ 69,508","€ 3,614,431","€ 3,614,431",M,25,Netherlands,Brighton,england,2425
Robert Sánchez,"€ 69,508","€ 3,614,431","€ 3,614,431",K,27,Spain,Chelsea,england,2425
Daniel Muñoz,"€ 69,508","€ 3,614,431","€ 3,614,431",D,28,Colombia,Crystal Palace,england,2425
Nick Pope,"€ 69,508","€ 3,614,431","€ 3,614,431",K,32,England,Newcastle,england,2425
Miguel Almirón,"€ 69,508","€ 3,614,431","€ 3,614,431",F,30,Paraguay,Newcastle,england,2425
Will Hughes,"€ 69,508","€ 3,614,431","€ 3,614,431",M,29,England,Crystal Palace,england,2425
Emile Smith Rowe,"€ 69,508","€ 3,614,431","€ 3,614,431",F,24,England,Fulham,england,2425
Jannik Vestergaard,"€ 69,508","€ 3,614,431","€ 3,614,431",D,32,Denmark,Leicester,england,2425
Nico González,"€ 69,508","€ 3,614,431","€ 3,614,431",M,23,Spain,Manchester City,england,2425
Jakub Kiwior,"€ 67,191","€ 3,493,950","€ 3,493,950",D,24,Poland,Arsenal,england,2425
Vitaliy Mykolenko,"€ 67,191","€ 3,493,950","€ 3,493,950",D,25,Ukraine,Everton,england,2425
Emil Krafth,"€ 63,716","€ 3,313,228","€ 3,313,228",D,30,Sweden,Newcastle,england,2425
Ben Mee,"€ 63,716","€ 3,313,228","€ 3,313,228",D,35,England,Brentford,england,2425
Chris Richards,"€ 63,716","€ 3,313,228","€ 3,313,228",D,24,United States,Crystal Palace,england,2425
Luis Díaz,"€ 63,716","€ 3,313,228","€ 3,313,228",F,28,Colombia,Liverpool,england,2425
Boubacar Traoré,"€ 63,716","€ 3,313,228","€ 3,313,228",M,23,Mali,Wolverhampton,england,2425
Lucas Bergvall,"€ 63,716","€ 3,313,228","€ 3,313,228",M,19,Sweden,Tottenham,england,2425
Adam Webster,"€ 63,716","€ 3,313,228","€ 3,313,228",D,30,England,Brighton,england,2425
