,,EST. BASE SALARY,EST. BASE SALARY,EST. BONUS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,BIO,BIO,BIO,BIO,BIO,,,,data_country,data_season
PLAYER,,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","GROSS P/Y
(EUR)",SIGNED,EXPIRATION,YEARS REMAINING,"GROSS REMAINING
(EUR)","RELEASE CLAUSE
(EUR)",STATUS,POS.,POS.,AGE,COUNTRY,CLUB,ACTIVE,LOAN,,
Hugo Duro,,"€ 80,192","€ 4,170,000","€ 1,040,000","Jul 4, 2024","Jun 30, 2028",3,"€ 12,510,000",,Reserve,F,CF,26,Spain,Valencia,True,,spain,2526
Thomas Partey,,"€ 80,192","€ 4,170,000","€ 1,040,000","Aug 7, 2025","Jun 30, 2026",1,"€ 4,170,000",,Reserve,M,DM,32,Ghana,Villarreal,True,,spain,2526
André Silva,,"€ 80,192","€ 4,170,000","€ 1,040,000","Aug 18, 2025","Jun 30, 2026",1,"€ 4,170,000",,Starter,F,CF,30,Portugal,Elche,True,,spain,2526
Gonçalo Guedes,,"€ 80,192","€ 4,170,000","€ 1,040,000","Aug 4, 2025","Jun 30, 2028",3,"€ 12,510,000",,Starter,F,LW,29,Portugal,Real Sociedad,True,,spain,2526
Vedat Muriqi,,"€ 80,192","€ 4,170,000","€ 1,040,000","Jul 9, 2025","Jun 30, 2029",4,"€ 16,680,000",,Starter,F,CF,31,Kosovo,Mallorca,True,,spain,2526
Cucho Hernández,,"€ 80,192","€ 4,170,000","€ 1,040,000","Feb 3, 2025","Jun 30, 2030",5,"€ 20,850,000",,Reserve,F,CF,26,Colombia,Real Betis,True,,spain,2526
Oihan Sancet,,"€ 80,192","€ 4,170,000","€ 1,040,000","Apr 1, 2023","Jun 30, 2032",7,"€ 29,190,000","€ 80,000,000",Starter,F,AM,25,Spain,Athletic Club,True,,spain,2526
Pau Cubarsí,,"€ 76,923","€ 4,000,000","€ 1,000,000","Feb 13, 2025","Jun 30, 2029",4,"€ 16,000,000","€ 500,000,000",Reserve,D,CB,19,Spain,Barcelona,True,,spain,2526
Gabriel Suazo,,"€ 76,923","€ 4,000,000","€ 1,000,000","Jul 12, 2025","Jun 30, 2028",3,"€ 12,000,000",,Starter,D,LB,28,Chile,Sevilla,True,,spain,2526
Nemanja Gudelj,,"€ 76,154","€ 3,960,000","€ 1,000,000","Jun 24, 2023","Jun 30, 2026",1,"€ 3,960,000",,Starter,M,DM,34,Serbia,Sevilla,True,,spain,2526
Mouctar Diakhaby,,"€ 76,154","€ 3,960,000","€ 1,000,000","Jan 16, 2023","Jun 30, 2027",2,"€ 7,920,000",,Reserve,D,CB,29,Guinea,Valencia,True,,spain,2526
Renato Veiga,,"€ 72,115","€ 3,750,000","€ 940,000","Aug 22, 2025","Jun 30, 2032",7,"€ 26,250,000",,Starter,D,CB,22,Portugal,Villarreal,True,,spain,2526
Nahuel Molina,,"€ 72,115","€ 3,750,000","€ 940,000","Jul 28, 2022","Jun 30, 2027",2,"€ 7,500,000","€ 100,000,000",Reserve,D,RB,27,Argentina,Atletico Madrid,True,,spain,2526
Lucas Beltrán,,"€ 72,115","€ 3,750,000","€ 940,000","Sep 1, 2025","Jun 30, 2026",1,"€ 3,750,000",,Reserve,F,CF,24,Argentina,Valencia,True,,spain,2526
Martin Valjent,,"€ 72,115","€ 3,750,000","€ 940,000","Jan 16, 2025","Jun 30, 2029",4,"€ 15,000,000",,Starter,D,CB,30,Slovakia,Mallorca,True,,spain,2526
Marash Kumbulla,,"€ 72,115","€ 3,750,000","€ 940,000","Aug 18, 2025","Jun 30, 2026",1,"€ 3,750,000",,Reserve,D,CB,25,Albania,Mallorca,True,,spain,2526
Giuliano Simeone,,"€ 72,115","€ 3,750,000","€ 940,000","Jan 15, 2026","Jun 30, 2030",5,"€ 18,750,000","€ 500,000,000",Starter,F,RW,23,Argentina,Atletico Madrid,True,,spain,2526
David López,,"€ 72,115","€ 3,750,000","€ 940,000","Dec 19, 2023","Jun 30, 2026",1,"€ 3,750,000",,Reserve,D,CB,36,Spain,Girona,True,,spain,2526
Mauro Arambarri,,"€ 72,115","€ 3,750,000","€ 940,000","Feb 6, 2023","Jun 30, 2028",3,"€ 11,250,000",,Starter,M,CM,30,Uruguay,Getafe,True,,spain,2526
Dani Parejo,,"€ 72,115","€ 3,750,000","€ 940,000","Mar 26, 2024","Jun 30, 2026",1,"€ 3,750,000",,Reserve,M,CM,36,Spain,Villarreal,True,,spain,2526
Junior Firpo,,"€ 72,115","€ 3,750,000","€ 940,000","Jul 17, 2025","Jun 30, 2028",3,"€ 11,250,000",,Reserve,D,LB,29,Dominican Republic,Real Betis,True,,spain,2526
Duje Caleta-Car,,"€ 72,115","€ 3,750,000","€ 940,000","Aug 1, 2025","Jun 30, 2026",1,"€ 3,750,000",,Starter,D,CB,29,Croatia,Real Sociedad,True,,spain,2526
Gerard Moreno,,"€ 72,115","€ 3,750,000","€ 940,000","Aug 9, 2021","Jun 30, 2027",2,"€ 7,500,000","€ 100,000,000",Reserve,F,CF,33,Spain,Villarreal,True,,spain,2526
Dani Vivian,,"€ 70,192","€ 3,650,000","€ 920,000","Jun 1, 2024","Jun 30, 2032",7,"€ 25,550,000",,Starter,D,CB,26,Spain,Athletic Club,True,,spain,2526
Nicolas Pépé,,"€ 68,077","€ 3,540,000","€ 880,000","Jul 16, 2025","Jun 30, 2028",3,"€ 10,620,000",,Starter,F,RW,30,Cote d'Ivoire,Villarreal,True,,spain,2526
Joan Jordán,,"€ 68,077","€ 3,540,000","€ 880,000","Jan 27, 2022","Jun 30, 2027",2,"€ 7,080,000",,Reserve,M,CM,31,Spain,Sevilla,True,,spain,2526
Daley Blind,,"€ 64,038","€ 3,330,000","€ 830,000","May 15, 2024","Jun 30, 2026",1,"€ 3,330,000",,Starter,D,CB,35,Netherlands,Girona,True,,spain,2526
Alfonso Pedraza,,"€ 64,038","€ 3,330,000","€ 830,000","May 26, 2022","Jun 30, 2026",1,"€ 3,330,000",,Reserve,D,LB,29,Spain,Villarreal,True,,spain,2526
Juan Musso,,"€ 64,038","€ 3,330,000","€ 830,000","Jun 10, 2025","Jun 30, 2028",3,"€ 9,990,000",,Reserve,K,GK,31,Argentina,Atletico Madrid,True,,spain,2526
Pape Gueye,,"€ 60,192","€ 3,130,000","€ 770,000","Jul 5, 2024","Jun 30, 2028",3,"€ 9,390,000",,Starter,M,CM,27,Senegal,Villarreal,True,,spain,2526
Ander Barrenetxea,,"€ 60,192","€ 3,130,000","€ 770,000","Jan 28, 2024","Jun 30, 2030",5,"€ 15,650,000","€ 75,000,000",Reserve,F,LW,24,Spain,Real Sociedad,True,,spain,2526
Igor Zubeldia,,"€ 60,192","€ 3,130,000","€ 770,000","May 17, 2023","Jun 30, 2029",4,"€ 12,520,000","€ 50,000,000",Reserve,D,CB,28,Spain,Real Sociedad,True,,spain,2526
Álex Berenguer,,"€ 60,192","€ 3,130,000","€ 770,000","Jul 7, 2024","Jun 30, 2027",2,"€ 6,260,000",,Reserve,F,LW,30,Spain,Athletic Club,True,,spain,2526
Rodrigo Riquelme,,"€ 60,192","€ 3,130,000","€ 770,000","Jul 4, 2025","Jun 30, 2030",5,"€ 15,650,000",,Reserve,F,LW,25,Spain,Real Betis,True,,spain,2526
Pablo Fornals,,"€ 60,192","€ 3,130,000","€ 770,000","Feb 1, 2024","Jun 30, 2029",4,"€ 12,520,000",,Starter,M,CM,29,Spain,Real Betis,True,,spain,2526
Natan,,"€ 60,192","€ 3,130,000","€ 770,000","Jul 1, 2025","Jun 30, 2030",5,"€ 15,650,000",,Starter,D,CB,24,Brazil,Real Betis,True,,spain,2526
Ayoze Pérez,,"€ 60,192","€ 3,130,000","€ 770,000","Aug 13, 2024","Jun 30, 2028",3,"€ 9,390,000",,Starter,F,CF,32,Spain,Villarreal,True,,spain,2526
Héctor Bellerín,,"€ 60,192","€ 3,130,000","€ 770,000","Jul 18, 2023","Jun 30, 2028",3,"€ 9,390,000",,Reserve,D,RB,30,Spain,Real Betis,True,,spain,2526
Diego Llorente,,"€ 60,192","€ 3,130,000","€ 770,000","Jul 9, 2024","Jun 30, 2028",3,"€ 9,390,000",,Starter,D,CB,32,Spain,Real Betis,True,,spain,2526
Alberto Moleiro,,"€ 60,192","€ 3,130,000","€ 770,000","Jul 1, 2025","Jun 30, 2030",5,"€ 15,650,000",,Starter,F,LW,22,Spain,Villarreal,True,,spain,2526
Tajon Buchanan,,"€ 60,192","€ 3,130,000","€ 770,000","Jul 29, 2025","Jun 30, 2030",5,"€ 15,650,000",,Reserve,F,RW,26,Canada,Villarreal,True,,spain,2526
Javi Galán,,"€ 60,192","€ 3,130,000","€ 790,000","Jan 1, 2026","Jun 30, 2026",1,"€ 3,130,000",,Starter,D,LB,31,Spain,Osasuna,True,,spain,2526
Wesley,,"€ 60,192","€ 3,130,000","€ 790,000","Jan 31, 2026","Jun 30, 2026",1,"€ 3,130,000",,Reserve,F,LW,20,Brazil,Real Sociedad,True,,spain,2526
Adnan Januzaj,,"€ 60,192","€ 3,130,000","€ 790,000","Aug 1, 2025","Jun 30, 2026",1,"€ 3,130,000",,Reserve,F,RW,30,Belgium,Sevilla,True,,spain,2526
Ante Budimir,,"€ 60,192","€ 3,130,000","€ 770,000","Oct 9, 2023","Jun 30, 2027",2,"€ 6,260,000","€ 8,000,000",Starter,F,CF,34,Croatia,Osasuna,True,,spain,2526
Leander Dendoncker,,"€ 60,192","€ 3,130,000","€ 770,000","Aug 19, 2025","Jun 30, 2027",2,"€ 6,260,000",,Reserve,M,DM,30,Belgium,Real Oviedo,True,,spain,2526
