,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
Koray Günter,"€ 14,423","€ 750,000","€ 750,000",D,30,Germany,Goztepe,turkey,2425
Alassane Ndao,"€ 14,423","€ 750,000","€ 750,000",F,28,Senegal,Konyaspor,turkey,2425
Umut Güneş,"€ 14,423","€ 750,000","€ 750,000",M,24,Turkey,Basaksehir,turkey,2425
Mame Thiam,"€ 14,423","€ 750,000","€ 750,000",F,32,Senegal,Eyupspor,turkey,2425
Olivier Kemen,"€ 14,423","€ 750,000","€ 750,000",M,28,Cameroon,Basaksehir,turkey,2425
David Okereke,"€ 14,423","€ 750,000","€ 750,000",F,27,Nigeria,Gaziantep BB,turkey,2425
Onur Bulut,"€ 14,423","€ 750,000","€ 750,000",D,30,Turkey,Besiktas,turkey,2425
Élan Ricardo,"€ 14,038","€ 730,000","€ 730,000",M,20,Colombia,Besiktas,turkey,2425
Riechedly Bazoer,"€ 13,269","€ 690,000","€ 690,000",D,28,Curacao,Konyaspor,turkey,2425
Can Keleş,"€ 13,269","€ 690,000","€ 690,000",F,23,Austria,Kasimpasa,turkey,2425
Victor Nelsson,"€ 13,269","€ 690,000","€ 690,000",D,26,Denmark,Galatasaray,turkey,2425
Yunus Akgün,"€ 13,269","€ 690,000","€ 690,000",F,24,Turkey,Galatasaray,turkey,2425
Can Keleş,"€ 13,269","€ 690,000","€ 690,000",F,23,Austria,Besiktas,turkey,2425
Hasan Ali Kaldırım,"€ 13,269","€ 690,000","€ 690,000",D,35,Turkey,Kayserispor,turkey,2425
Nabil Alioui,"€ 13,077","€ 680,000","€ 680,000",F,25,France,Adana Demirspor,turkey,2425
Ahmed Kutucu,"€ 13,077","€ 680,000","€ 680,000",F,24,Turkey,Galatasaray,turkey,2425
Sinan Bolat,"€ 13,077","€ 680,000","€ 680,000",K,36,Turkey,Kasimpasa,turkey,2425
Onurcan Piri,"€ 12,500","€ 650,000","€ 650,000",K,30,Turkey,Kayserispor,turkey,2425
Dimitrios Kolovetsios,"€ 12,500","€ 650,000","€ 650,000",D,33,Greece,Kayserispor,turkey,2425
