,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
Jiri Pavlenka,"€ 48,077","€ 2,500,000","€ 2,500,000",K,30,Czech Republic,Werder Bremen,germany,2223
Dodi Lukébakio,"€ 48,077","€ 2,500,000","€ 2,500,000",F,25,Belgium,Hertha Berlin,germany,2223
Sebastian Andersson,"€ 48,077","€ 2,500,000","€ 2,500,000",F,31,Sweden,Koln,germany,2223
Niclas Füllkrug,"€ 48,077","€ 2,500,000","€ 2,500,000",F,29,Germany,Werder Bremen,germany,2223
Florian Neuhaus,"€ 48,077","€ 2,500,000","€ 2,500,000",M,25,Germany,Monchengladbach,germany,2223
Giovanni Reyna,"€ 48,077","€ 2,500,000","€ 2,500,000",F,20,United States,Borussia Dortmund,germany,2223
Ellyes Skhiri,"€ 48,077","€ 2,500,000","€ 2,500,000",M,27,Tunisia,Koln,germany,2223
Sebastian Rode,"€ 48,077","€ 2,500,000","€ 2,500,000",M,32,Germany,Eintracht Frankfurt,germany,2223
Santos Borré,"€ 48,077","€ 2,500,000","€ 2,500,000",F,27,Colombia,Eintracht Frankfurt,germany,2223
Kevin Kampl,"€ 48,077","€ 2,500,000","€ 2,500,000",M,32,Slovenia,Leipzig,germany,2223
Nico Elvedi,"€ 48,077","€ 2,500,000","€ 2,500,000",D,26,Switzerland,Monchengladbach,germany,2223
Luca Pellegrini,"€ 47,115","€ 2,450,000","€ 2,450,000",D,23,Italy,Eintracht Frankfurt,germany,2223
Vladimir Darida,"€ 46,154","€ 2,400,000","€ 2,400,000",M,32,Czech Republic,Hertha Berlin,germany,2223
Kevin Vogt,"€ 46,154","€ 2,400,000","€ 2,400,000",D,31,Germany,Hoffenheim,germany,2223
Stefan Lainer,"€ 44,231","€ 2,300,000","€ 2,300,000",D,30,Austria,Monchengladbach,germany,2223
Edmond Tapsoba,"€ 43,462","€ 2,260,000","€ 2,260,000",D,23,Burkina Faso,Bayer Leverkusen,germany,2223
Marvin Schwäbe,"€ 43,462","€ 2,260,000","€ 2,260,000",K,28,Germany,Koln,germany,2223
Jeffrey Gouweleeuw,"€ 43,462","€ 2,260,000","€ 2,260,000",D,31,Netherlands,Augsburg,germany,2223
Moussa Diaby,"€ 43,462","€ 2,260,000","€ 2,260,000",F,23,France,Bayer Leverkusen,germany,2223
Ihlas Bebou,"€ 43,462","€ 2,260,000","€ 2,260,000",F,28,Togo,Hoffenheim,germany,2223
Ludovic Ajorque,"€ 41,538","€ 2,160,000","€ 2,160,000",F,28,France,Mainz,germany,2223
Serhou Guirassy,"€ 41,538","€ 2,160,000","€ 2,160,000",F,26,Guinea,Stuttgart,germany,2223
Daniel Caligiuri,"€ 40,385","€ 2,100,000","€ 2,100,000",F,35,Italy,Augsburg,germany,2223
Maximilian Philipp,"€ 40,385","€ 2,100,000","€ 2,100,000",F,28,Germany,Wolfsburg,germany,2223
Dennis Geiger,"€ 40,000","€ 2,080,000","€ 2,080,000",M,24,Germany,Hoffenheim,germany,2223
Marvin Friedrich,"€ 40,000","€ 2,080,000","€ 2,080,000",D,27,Germany,Monchengladbach,germany,2223
Jonas Wind,"€ 40,000","€ 2,080,000","€ 2,080,000",F,23,Denmark,Wolfsburg,germany,2223
Silvan Widmer,"€ 40,000","€ 2,080,000","€ 2,080,000",D,30,Switzerland,Mainz,germany,2223
Piero Hincapié,"€ 40,000","€ 2,080,000","€ 2,080,000",D,21,Ecuador,Bayer Leverkusen,germany,2223
Rune Jarstein,"€ 40,000","€ 2,080,000","€ 2,080,000",K,38,Norway,Hertha Berlin,germany,2223
Djibril Sow,"€ 39,808","€ 2,070,000","€ 2,070,000",M,25,Switzerland,Eintracht Frankfurt,germany,2223
Gregor Kobel,"€ 39,231","€ 2,040,000","€ 2,040,000",K,25,Switzerland,Borussia Dortmund,germany,2223
Julian Ryerson,"€ 39,231","€ 2,040,000","€ 2,040,000",D,25,Norway,Borussia Dortmund,germany,2223
Marius Bülter,"€ 39,231","€ 2,040,000","€ 2,040,000",F,29,Germany,Schalke 04,germany,2223
Pavel Kaderabek,"€ 38,462","€ 2,000,000","€ 2,000,000",D,30,Czech Republic,Hoffenheim,germany,2223
Lukas Nmecha,"€ 38,462","€ 2,000,000","€ 2,000,000",F,24,Germany,Wolfsburg,germany,2223
Paul Wanner,"€ 38,462","€ 2,000,000","€ 2,000,000",F,17,Austria,Bayern Munich,germany,2223
Daichi Kamada,"€ 38,462","€ 2,000,000","€ 2,000,000",F,26,Japan,Eintracht Frankfurt,germany,2223
Daley Sinkgraven,"€ 38,462","€ 2,000,000","€ 2,000,000",D,27,Netherlands,Bayer Leverkusen,germany,2223
Daley Blind,"€ 38,462","€ 2,000,000","€ 2,000,000",D,32,Netherlands,Bayern Munich,germany,2223
Aarón Martín,"€ 38,462","€ 2,000,000","€ 2,000,000",D,25,Spain,Mainz,germany,2223
Sven Ulreich,"€ 38,462","€ 2,000,000","€ 2,000,000",K,34,Germany,Bayern Munich,germany,2223
Mohamed Simakan,"€ 38,462","€ 2,000,000","€ 2,000,000",D,22,France,Leipzig,germany,2223
Maximilian Philipp,"€ 38,462","€ 2,000,000","€ 2,000,000",F,28,Germany,Werder Bremen,germany,2223
Ramy Bensebaini,"€ 38,462","€ 2,000,000","€ 2,000,000",D,27,Algeria,Monchengladbach,germany,2223
Philipp Max,"€ 38,269","€ 1,990,000","€ 1,990,000",D,29,Germany,Eintracht Frankfurt,germany,2223
Edimilson Fernandes,"€ 38,077","€ 1,980,000","€ 1,980,000",M,26,Switzerland,Mainz,germany,2223
Mitchell Weiser,"€ 38,077","€ 1,980,000","€ 1,980,000",D,28,Germany,Werder Bremen,germany,2223
