,,EST. BASE SALARY,EST. BASE SALARY,EST. BONUS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,BIO,BIO,BIO,BIO,BIO,,,,data_country,data_season
PLAYER,,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","GROSS P/Y
(EUR)",SIGNED,EXPIRATION,YEARS REMAINING,"GROSS REMAINING
(EUR)","RELEASE CLAUSE
(EUR)",STATUS,POS.,POS.,AGE,COUNTRY,CLUB,ACTIVE,LOAN,,
Vladimír Coufal,,"€ 72,500","€ 3,770,000","€ 940,000","Feb 17, 2026","Jun 30, 2028",3,"€ 11,310,000",,Starter,D,RB,33,Czech Republic,Hoffenheim,True,,germany,2526
Bernardo,,"€ 72,500","€ 3,770,000","€ 940,000","Jul 1, 2025","Jun 30, 2026",1,"€ 3,770,000",,Reserve,D,LB,30,Brazil,Hoffenheim,True,,germany,2526
Robin Hack,,"€ 72,500","€ 3,770,000","€ 940,000","Oct 17, 2024","Jun 30, 2029",4,"€ 15,080,000",,Reserve,F,LW,27,Germany,Monchengladbach,True,,germany,2526
Koki Machida,,"€ 72,500","€ 3,770,000","€ 940,000","Jul 1, 2025","Jun 30, 2026",1,"€ 3,770,000",,Reserve,D,CB,28,Japan,Hoffenheim,True,,germany,2526
Nico Elvedi,,"€ 68,846","€ 3,580,000","€ 900,000","Sep 21, 2023","Jun 30, 2027",2,"€ 7,160,000","€ 10,000,000",Starter,D,CB,29,Switzerland,Monchengladbach,True,,germany,2526
Yannick Gerhardt,,"€ 68,846","€ 3,580,000","€ 900,000","Mar 27, 2024","Jun 30, 2026",1,"€ 3,580,000",,Starter,M,CM,31,Germany,Wolfsburg,True,,germany,2526
Oliver Baumann,,"€ 68,846","€ 3,580,000","€ 900,000","Aug 1, 2025","Jun 30, 2028",3,"€ 10,740,000",,Starter,K,GK,35,Germany,Hoffenheim,True,,germany,2526
Christian Eriksen,,"€ 67,115","€ 3,490,000","€ 870,000","Sep 10, 2025","Jun 30, 2027",2,"€ 6,980,000",,Starter,F,AM,33,Denmark,Wolfsburg,True,,germany,2526
Chris Führich,,"€ 65,385","€ 3,400,000","€ 850,000","Feb 1, 2024","Jun 30, 2028",3,"€ 10,200,000","€ 26,000,000",Starter,F,LW,28,Germany,Stuttgart,True,,germany,2526
Michy Batshuayi,,"€ 65,385","€ 3,400,000","€ 850,000","Feb 3, 2025","Jun 30, 2027",2,"€ 6,800,000",,Reserve,F,CF,32,Belgium,Eintracht Frankfurt,True,,germany,2526
Jan-Niklas Beste,,"€ 65,385","€ 3,400,000","€ 850,000","Jan 31, 2025","Jun 30, 2030",5,"€ 17,000,000",,Starter,F,RW,27,Germany,Freiburg,True,,germany,2526
Denis Vavro,,"€ 65,385","€ 3,400,000","€ 850,000","Jul 1, 2025","Jun 30, 2027",2,"€ 6,800,000",,Starter,D,CB,29,Slovakia,Wolfsburg,True,,germany,2526
Nicolas Seiwald,,"€ 65,385","€ 3,400,000","€ 850,000","Jul 1, 2023","Jun 30, 2028",3,"€ 10,200,000",,Starter,M,DM,24,Austria,Leipzig,True,,germany,2526
Nathan Tella,,"€ 65,385","€ 3,400,000","€ 850,000","Aug 27, 2023","Jun 30, 2028",3,"€ 10,200,000",,Reserve,F,RW,26,Nigeria,Bayer Leverkusen,True,,germany,2526
Ellyes Skhiri,,"€ 65,385","€ 3,400,000","€ 850,000","Jul 5, 2023","Jun 30, 2027",2,"€ 6,800,000",,Starter,M,DM,30,Tunisia,Eintracht Frankfurt,True,,germany,2526
Mahmoud Dahoud,,"€ 61,731","€ 3,210,000","€ 800,000","Aug 30, 2024","Jun 30, 2026",1,"€ 3,210,000",,Starter,M,CM,30,Syria,Eintracht Frankfurt,True,,germany,2526
Jens Stage,,"€ 61,731","€ 3,210,000","€ 800,000","Nov 18, 2024","Jun 30, 2026",1,"€ 3,210,000",,Starter,M,CM,29,Denmark,Werder Bremen,True,,germany,2526
Eliesse Ben Seghir,,"€ 61,731","€ 3,210,000","€ 800,000","Aug 31, 2025","Jun 30, 2030",5,"€ 16,050,000",,Reserve,F,LW,20,Morocco,Bayer Leverkusen,True,,germany,2526
Johan Bakayoko,,"€ 61,731","€ 3,210,000","€ 800,000","Jul 16, 2025","Jun 30, 2030",5,"€ 16,050,000",,Reserve,F,RW,22,Belgium,Leipzig,True,,germany,2526
Kamil Grabara,,"€ 61,731","€ 3,210,000","€ 800,000","Jul 1, 2024","Jun 30, 2028",3,"€ 9,630,000",,Starter,K,GK,27,Poland,Wolfsburg,True,,germany,2526
Yuito Suzuki,,"€ 61,731","€ 3,210,000","€ 800,000","Jul 1, 2025","Jun 30, 2026",1,"€ 3,210,000",,Starter,F,SS,24,Japan,Freiburg,True,,germany,2526
Jamie Leweling,,"€ 61,731","€ 3,210,000","€ 800,000","Dec 17, 2024","Jun 30, 2029",4,"€ 12,840,000",,Reserve,F,RW,24,Germany,Stuttgart,True,,germany,2526
Luca Waldschmidt,,"€ 58,077","€ 3,020,000","€ 750,000","Jul 1, 2024","Jun 30, 2027",2,"€ 6,040,000",,Reserve,F,CF,29,Germany,Koln,True,,germany,2526
Jordy Makengo,,"€ 58,077","€ 3,020,000","€ 750,000","Jul 7, 2025","Jun 30, 2026",1,"€ 3,020,000",,Reserve,D,LB,24,France,Freiburg,True,,germany,2526
